Distance Segment,Trips,total_miles,total_seconds,total_fare,total_driver_pay,Avg Distance,Avg Duration,Avg Fare,Avg Driver Pay,Fare per Mile,Driver Pay per Trip Hour,Trip Share %,Sort Order
Very Short (0–1 mi),2746495,2023508.702,1038085650,27100804.51,18052194.05,0.7367603807762257,6.299457126264566,9.86741447189964,6.572811547080916,13.392976508188005,62.60359978967054,13.364128870823697,1
Short (1–3 mi),8455598,15517550.554,6317091695,132111228.56,98786421.91,1.8351807351768614,12.451497999707808,15.624114173828984,11.682961028894704,8.513665098126285,56.29665296096355,41.1439724871183,2
Medium (3–7 mi),5423012,24921266.837,7084417250,142248402.08,115889517.76,4.595465921336704,21.772701375791414,26.230515824047597,21.3699541435645,5.707912162346709,58.89013156812581,26.387840425831115,3
Long (7–15 mi),2915037,28925790.430999998,5480859816,126584811.49,101767713.34,9.922958244097758,31.33670811039448,43.42477007667484,34.91129386693891,4.376191958935651,66.84421428814737,14.184322449354166,4
Very Long (15+ mi),1011064,21986639.909,2939404817,91131168.5,66633268.58,21.746041703591466,48.45398538898955,90.1339267346083,65.904105556127,4.1448429081105935,81.60827848571903,4.919735766872724,5
