Period,Trips,Total Miles,Total Fare,Total Driver Pay,Total Tips,Avg Fare,Avg Driver Pay,Avg Tip,Fare per Mile,Driver Pay per Mile
Non-Peak,14633399,68324420.09,371546647.93,286732911.01,16336232.34,25.390317583085107,19.594416239863342,1.116366220862289,5.437977335783927,4.196638780575122
Peak,5917847,25050669.913,147629785.85,114395812.67,6839622.5,24.94653644306789,19.33064722186971,1.1557619688376533,5.893247021445434,4.566576984459585
