Period,Trips,miles,seconds,Avg Distance,Avg Duration,Aggregate Speed
Non-Peak,14633399,68324420.09,16099991643,4.669073814634591,18.337038035387405,15.277518012311681
Peak,5917847,25050669.913,6759982135,4.23307157366522,19.038405169425072,13.340628700759131
